kind,value,source
extension,rascript,github-linguist + curated
extension,raw,github-linguist + curated
extension,rbbas,github-linguist + curated
extension,rbfrm,github-linguist + curated
extension,rbi,github-linguist + curated
extension,rbmnu,github-linguist + curated
extension,rbres,github-linguist + curated
extension,rbs,github-linguist + curated
extension,rbtbar,github-linguist + curated
extension,rbuild,github-linguist + curated
extension,rbuistate,github-linguist + curated
extension,rbw,github-linguist + curated
extension,rbxs,github-linguist + curated
extension,rchit,github-linguist + curated
extension,rd,github-linguist + curated
extension,rdf,github-linguist + curated
extension,rdoc,github-linguist + curated
extension,re,github-linguist + curated
extension,reb,github-linguist + curated
extension,red,github-linguist + curated
extension,reds,github-linguist + curated
extension,reek,github-linguist + curated
extension,regex,github-linguist + curated
extension,regexp,github-linguist + curated
extension,rei,github-linguist + curated
extension,religo,github-linguist + curated
extension,res,github-linguist + curated
extension,resi,github-linguist + curated
extension,resource,github-linguist + curated
extension,rest,github-linguist + curated
extension,rest.txt,github-linguist + curated
extension,rexx,github-linguist + curated
extension,rg,github-linguist + curated
extension,rhtml,github-linguist + curated
extension,ring,github-linguist + curated
extension,riot,github-linguist + curated
extension,rktd,github-linguist + curated
extension,rktl,github-linguist + curated
extension,rl,github-linguist + curated
extension,rmiss,github-linguist + curated
extension,rnh,github-linguist + curated
extension,rno,github-linguist + curated
extension,rnw,github-linguist + curated
extension,robot,github-linguist + curated
extension,roc,github-linguist + curated
extension,rockspec,github-linguist + curated
extension,roff,github-linguist + curated
extension,ron,github-linguist + curated
extension,ronn,github-linguist + curated
extension,rpgle,github-linguist + curated
extension,rq,github-linguist + curated
extension,rs.in,github-linguist + curated
extension,rsc,github-linguist + curated
extension,rsh,github-linguist + curated
extension,rst.txt,github-linguist + curated
extension,rsx,github-linguist + curated
extension,rtf,github-linguist + curated
extension,ru,github-linguist + curated
extension,rviz,github-linguist + curated
extension,sagews,github-linguist + curated
extension,sail,github-linguist + curated
extension,sarif,github-linguist + curated
extension,sass,github-linguist + curated
extension,sats,github-linguist + curated
extension,sbatch,github-linguist + curated
extension,scaml,github-linguist + curated
extension,scenic,github-linguist + curated
extension,schdoc,github-linguist + curated
extension,sco,github-linguist + curated
extension,scrbl,github-linguist + curated
extension,scxml,github-linguist + curated
extension,sdc,github-linguist + curated
extension,sed,github-linguist + curated
extension,self,github-linguist + curated
extension,service,github-linguist + curated
extension,sexp,github-linguist + curated
extension,sfd,github-linguist + curated
extension,sfproj,github-linguist + curated
extension,sfv,github-linguist + curated
